"Gene","FrozenBeforeFinalRefit"
"PRDX4",TRUE
"SLC16A1",TRUE
"LDHA",TRUE
"LDHB",TRUE
"PGK1",TRUE
"ENO1",TRUE
"PDK1",TRUE
"HK2",TRUE
"GPI",TRUE
"ALDOA",TRUE
"PRDX6",TRUE
"PRDX2",TRUE
"TXN",TRUE
"PRDX5",TRUE
"TXNRD1",TRUE
"NQO1",TRUE
"NUDT5",TRUE
"ELK1",TRUE
"SLC25A5",TRUE
"SNAPC1",TRUE
"NUP37",TRUE
"RUVBL1",TRUE
"SLC1A5",TRUE
"AHCY",TRUE
