"Dataset","N","Events","HR_per_trainingSD","Lower95","Upper95","CoxP","Cindex","HighN","LowN","KM_HR_High_vs_Low","LogRankP","AUC1","AUC3","AUC5","MeanAUC"
"E-MTAB-179 full refit (apparent)",478,91,4.39454406032321,3.66325889869875,5.27181344048108,3.28226979009537e-57,0.936558507841257,239,239,124.349540266656,0,0.95810907350672,0.973358998974497,0.959327478293835,0.963598516925018
"SEQC external validation (locked model and cutoff)",498,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
